Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2005-02-02,,,0.0,0.0,,,,5.0,0.0,0.0,,788.0,,,,8.0,,,26.0,0.0,,,,,,,,,,30.0,104.0,,24.0,142.0,,195.0,,0.0,
2005-02-03,,,0.0,0.0,,,,0.0,10.0,0.0,,845.0,,,,4.0,,,1120.0,0.0,,,,,,,,,,30.0,30.0,,39.0,339.0,,419.0,,0.0,
2005-02-04,,,0.0,0.0,,,,0.0,40.0,0.0,,773.0,,,,6.0,,,606.0,0.0,,,,,,,,,,20.0,37.0,,21.0,55.0,,341.0,,0.0,
2005-02-07,,,0.0,0.0,,,,0.0,0.0,0.0,,423.0,,,,1.0,,,385.0,0.0,,,,,,,,,,70.0,35.0,,72.0,9.0,,124.0,,0.0,
2005-02-08,,,0.0,0.0,,,,2.0,0.0,0.0,,843.0,,,,28.0,,,38.0,0.0,,,,,,,,,,70.0,32.0,,131.0,38.0,,60.0,,0.0,
2005-02-09,,,0.0,0.0,,,,0.0,10.0,0.0,,685.0,,,,0.0,,,45.0,0.0,,,,,,,,,,40.0,30.0,,56.0,163.0,,146.0,,0.0,
2005-02-10,,,0.0,0.0,,,,0.0,50.0,0.0,,614.0,,,,37.0,,,79.0,0.0,,,,,,,,,,40.0,42.0,,132.0,441.0,,282.0,,0.0,
2005-02-11,,,0.0,0.0,,,,0.0,21.0,0.0,,530.0,,,,8.0,,,134.0,0.0,,,,,,,,,,10.0,50.0,,74.0,120.0,,342.0,,0.0,
2005-02-14,,,0.0,0.0,,,,0.0,5.0,0.0,,611.0,,,,0.0,,,490.0,0.0,,,,,,,,,,20.0,36.0,,293.0,313.0,,534.0,,0.0,
2005-02-15,,,0.0,0.0,,,,0.0,0.0,0.0,,614.0,,,,13.0,,,416.0,0.0,,,,,,,,,,60.0,32.0,,93.0,43.0,,144.0,,0.0,
